"","plant_genus_species","mean_damtypes"
"1","baptisia_tinctoria",1.05
"2","clethra_alnifolia",0.9
"3","cornus_racemosa",1.075
"4","epigaea_repens",1.975
"5","galium_triflorum",0.8
"6","gaylussacia_baccata",0.526315789473684
"7","kalmia_angustifolia",0.875
"8","lechea_intermedia",0.8
"9","lespedeza_capitata",1.175
"10","lespedeza_hirta",1.95
"11","ludwigia_palustris",1.12820512820513
"12","lycopus_americanus",0.945945945945946
"13","lysimachia_terrestris",0.575
"14","mentha_arvensis",1.325
"15","polygala_sanguinea",0.325
"16","triadenum_virginicum",0.65
"17","vaccinium_macrocarpon",1.05128205128205
"18","viola_blanda",0.75
"19","viola_cucullata",0.564102564102564
"20","vitis_labrusca",0.717948717948718
